30, 10, 68
14, 12, 20
24, 12, 84
72, 49, 35
82, 32, 29
10, 2, 80
58, 67, 47
77, 91, 54
43, 9, 40
65, 52, 56
50, 34, 66
70, 48, 30
90, 24, 42
74, 48, 43
61, 30, 75
90, 92, 29
23, 51, 96
70, 28, 87
76, 71, 48
16, 88, 52
72, 90, 86
90, 60, 86
72, 50, 62
14, 76, 11
57, 38, 93
84, 28, 86
65, 3, 89
61, 73, 17
0, 1, 40
48, 18, 28
52, 42, 19
90, 85, 79
76, 57, 82
91, 24, 58
54, 33, 96
47, 70, 77
33, 35, 32
22, 49, 58
91, 1, 59
83, 50, 29
64, 54, 24
35, 45, 9
66, 73, 18
48, 64, 94
7, 18, 28
55, 18, 50
84, 51, 37
17, 26, 86
27, 69, 88
86, 53, 90
16, 17, 44
40, 52, 41
1, 18, 15
71, 19, 31
66, 78, 2
46, 33, 20
96, 70, 23
33, 39, 49
72, 66, 71
60, 52, 24
2, 20, 93
98, 12, 97
40, 65, 67
55, 37, 38
86, 55, 16
88, 53, 2
60, 49, 72
84, 34, 11
85, 58, 29
56, 70, 33
32, 72, 54
77, 71, 18
26, 11, 84
46, 18, 73
84, 56, 28
1, 97, 81
3, 57, 82
27, 93, 68
90, 79, 27
19, 87, 97
52, 72, 22
58, 1, 45
77, 28, 8
13, 26, 26
86, 10, 34
14, 63, 31
95, 18, 41
29, 45, 34
97, 35, 65
76, 6, 5
26, 11, 77
0, 69, 30
45, 98, 10
53, 11, 36
31, 97, 99
65, 11, 62
49, 58, 33
42, 39, 78
76, 89, 66
94, 65, 72
