89,94,19
13,45,76
85,65,46
16,16,77
35,38,69
18,50,61
41,85,27
45,3,56
95,48,70
98,71,34
89,13,81
61,78,26
89,15,43
35,83,11
64,71,49
33,89,52
47,82,37
74,79,92
30,75,92
53,73,16
39,15,29
72,28,59
51,17,75
94,53,10
6,17,81
7,3,22
59,50,5
48,24,36
40,6,63
85,59,37
1,51,4
30,23,32
41,74,49
68,21,54
79,27,24
12,86,27
35,46,29
92,94,53
28,87,59
92,72,71
81,73,74
37,55,97
69,96,24
70,65,45
77,96,24
53,8,10
32,43,56
61,87,3
66,16,42
25,60,14
48,93,39
22,30,46
72,51,42
96,21,59
93,50,7
17,3,16
27,87,11
36,48,99
91,14,67
33,92,79
99,40,72
38,15,2
36,87,53
30,35,26
42,28,29
49,45,84
17,24,72
29,12,72
80,3,87
99,36,31
78,87,71
2,77,38
4,13,25
9,44,60
87,86,88
16,35,85
1,5,10
25,34,22
97,66,78
84,17,66
67,95,54
91,97,31
29,53,97
55,14,41
67,1,79
8,70,66
93,23,71
55,48,57
30,45,23
8,82,92
74,49,87
80,92,36
64,22,41
61,29,55
54,96,9
33,56,31
99,2,54
71,57,2
28,39,99
4,99,33
